"","year","month","UF","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old"
"124",2018,5,"PE",11214,3798,7416,4785,6429,94,34,60,33,61,11308,3832,7476,4818,6490
"125",2018,5,"PI",4091,1432,2659,1785,2306,51,30,21,21,30,4142,1462,2680,1806,2336
"126",2018,5,"PR",13789,3339,10450,4966,8823,96,40,56,40,56,13885,3379,10506,5006,8879
"127",2018,5,"RJ",18658,4897,13761,7218,11440,232,93,139,94,138,18890,4990,13900,7312,11578
"128",2018,5,"RN",3813,1222,2591,1532,2281,26,13,13,9,17,3839,1235,2604,1541,2298
"129",2018,5,"RO",2193,662,1531,997,1196,14,6,8,5,9,2207,668,1539,1002,1205
"130",2018,5,"RR",1216,357,859,592,624,8,4,4,3,5,1224,361,863,595,629
"131",2018,5,"RS",12017,3460,8557,4135,7882,86,31,55,33,53,12103,3491,8612,4168,7935
"132",2018,5,"SC",8310,1959,6351,2793,5517,73,22,51,29,44,8383,1981,6402,2822,5561
"133",2018,5,"SE",2895,1174,1721,1215,1680,34,19,15,14,20,2929,1193,1736,1229,1700
"134",2018,5,"SP",53195,8469,44726,17623,35572,439,115,324,162,277,53634,8584,45050,17785,35849
"135",2018,5,"TO",2033,493,1540,956,1077,16,8,8,10,6,2049,501,1548,966,1083
"136",2019,1,"AC",1356,634,722,687,669,15,8,7,6,9,1371,642,729,693,678
"137",2019,1,"AL",3531,1419,2112,1810,1721,39,18,21,20,19,3570,1437,2133,1830,1740
"138",2019,1,"AM",7069,2479,4590,3624,3445,81,26,55,35,46,7150,2505,4645,3659,3491
"139",2019,1,"AP",1311,439,872,649,662,15,6,9,5,10,1326,445,881,654,672
"140",2019,1,"BA",14821,4691,10130,5968,8853,196,75,121,87,109,15017,4766,10251,6055,8962
"141",2019,1,"CE",10187,3022,7165,4078,6109,95,43,52,37,58,10282,3065,7217,4115,6167
"142",2019,1,"DF",3565,630,2935,1102,2463,28,10,18,5,23,3593,640,2953,1107,2486
"143",2019,1,"ES",4331,1163,3168,1520,2811,41,14,27,16,25,4372,1177,3195,1536,2836
"144",2019,1,"GO",7980,1726,6254,3169,4811,66,22,44,25,41,8046,1748,6298,3194,4852
"145",2019,1,"MA",9818,3436,6382,5023,4795,115,42,73,56,59,9933,3478,6455,5079,4854
"146",2019,1,"MG",19936,4284,15652,6838,13098,173,62,111,61,112,20109,4346,15763,6899,13210
"147",2019,1,"MS",3348,1004,2344,1391,1957,32,11,21,9,23,3380,1015,2365,1400,1980
"148",2019,1,"MT",4832,964,3868,2039,2793,41,16,25,16,25,4873,980,3893,2055,2818
"149",2019,1,"PA",11514,4558,6956,6025,5489,117,52,65,53,64,11631,4610,7021,6078,5553
"150",2019,1,"PB",4971,1711,3260,2031,2940,40,20,20,18,22,5011,1731,3280,2049,2962
"151",2019,1,"PE",11027,3717,7310,4738,6289,101,42,59,43,58,11128,3759,7369,4781,6347
"152",2019,1,"PI",3963,1287,2676,1750,2213,36,17,19,11,25,3999,1304,2695,1761,2238
"153",2019,1,"PR",11385,2586,8799,4094,7291,74,23,51,20,54,11459,2609,8850,4114,7345
"154",2019,1,"RJ",15665,3898,11767,5952,9713,164,64,100,63,101,15829,3962,11867,6015,9814
"155",2019,1,"RN",3528,1256,2272,1412,2116,36,20,16,14,22,3564,1276,2288,1426,2138
"156",2019,1,"RO",2318,696,1622,1025,1293,25,9,16,11,14,2343,705,1638,1036,1307
"157",2019,1,"RR",1382,435,947,717,665,12,3,9,7,5,1394,438,956,724,670
"158",2019,1,"RS",10120,2865,7255,3314,6806,63,26,37,21,42,10183,2891,7292,3335,6848
"159",2019,1,"SC",7237,1623,5614,2399,4838,43,12,31,8,35,7280,1635,5645,2407,4873
"160",2019,1,"SE",2664,1074,1590,1136,1528,20,7,13,8,12,2684,1081,1603,1144,1540
"161",2019,1,"SP",44799,6860,37939,14550,30249,313,73,240,96,217,45112,6933,38179,14646,30466
"162",2019,1,"TO",1942,469,1473,869,1073,20,3,17,3,17,1962,472,1490,872,1090
"163",2019,2,"AC",1214,554,660,611,603,12,6,6,5,7,1226,560,666,616,610
"164",2019,2,"AL",3086,1318,1768,1566,1520,32,20,12,14,18,3118,1338,1780,1580,1538
"165",2019,2,"AM",5884,2069,3815,3000,2884,57,21,36,26,31,5941,2090,3851,3026,2915
"166",2019,2,"AP",1064,371,693,506,558,9,1,8,3,6,1073,372,701,509,564
"167",2019,2,"BA",12450,3935,8515,5060,7390,157,65,92,62,95,12607,4000,8607,5122,7485
"168",2019,2,"CE",8508,2550,5958,3398,5110,86,31,55,33,53,8594,2581,6013,3431,5163
"169",2019,2,"DF",3035,551,2484,897,2138,25,6,19,6,19,3060,557,2503,903,2157
"170",2019,2,"ES",3896,1018,2878,1407,2489,19,6,13,9,10,3915,1024,2891,1416,2499
"171",2019,2,"GO",6673,1466,5207,2648,4025,61,18,43,19,42,6734,1484,5250,2667,4067
"172",2019,2,"MA",8045,2792,5253,4125,3920,106,52,54,52,54,8151,2844,5307,4177,3974
"173",2019,2,"MG",17574,3715,13859,6018,11556,154,48,106,56,98,17728,3763,13965,6074,11654
"174",2019,2,"MS",3045,906,2139,1265,1780,28,13,15,13,15,3073,919,2154,1278,1795
"175",2019,2,"MT",4162,820,3342,1661,2501,39,11,28,19,20,4201,831,3370,1680,2521
"176",2019,2,"PA",9595,3905,5690,4943,4652,116,54,62,56,60,9711,3959,5752,4999,4712
"177",2019,2,"PB",4024,1436,2588,1634,2390,31,11,20,10,21,4055,1447,2608,1644,2411
"178",2019,2,"PE",9179,3055,6124,3934,5245,104,40,64,47,57,9283,3095,6188,3981,5302
"179",2019,2,"PI",3376,1115,2261,1424,1952,30,14,16,11,19,3406,1129,2277,1435,1971
"180",2019,2,"PR",10756,2448,8308,3813,6943,57,17,40,23,34,10813,2465,8348,3836,6977
"181",2019,2,"RJ",13911,3443,10468,5268,8643,150,61,89,59,91,14061,3504,10557,5327,8734
"182",2019,2,"RN",2755,1023,1732,1164,1591,29,16,13,9,20,2784,1039,1745,1173,1611
"183",2019,2,"RO",1845,566,1279,778,1067,11,5,6,6,5,1856,571,1285,784,1072
"184",2019,2,"RR",1134,345,789,574,560,13,2,11,7,6,1147,347,800,581,566
"185",2019,2,"RS",9322,2587,6735,3144,6178,66,23,43,27,39,9388,2610,6778,3171,6217
"186",2019,2,"SC",6572,1498,5074,2066,4506,58,17,41,22,36,6630,1515,5115,2088,4542
"187",2019,2,"SE",2232,880,1352,923,1309,23,15,8,14,9,2255,895,1360,937,1318
"188",2019,2,"SP",40527,6342,34185,13307,27220,260,58,202,82,178,40787,6400,34387,13389,27398
"189",2019,2,"TO",1797,417,1380,817,980,17,10,7,12,5,1814,427,1387,829,985
"190",2019,3,"AC",1123,514,609,556,567,9,3,6,6,3,1132,517,615,562,570
"191",2019,3,"AL",3264,1329,1935,1625,1639,34,14,20,14,20,3298,1343,1955,1639,1659
"192",2019,3,"AM",6084,2050,4034,3139,2945,76,31,45,33,43,6160,2081,4079,3172,2988
"193",2019,3,"AP",1259,414,845,577,682,16,10,6,12,4,1275,424,851,589,686
"194",2019,3,"BA",12780,3913,8867,5123,7657,149,67,82,59,90,12929,3980,8949,5182,7747
"195",2019,3,"CE",9023,2762,6261,3473,5550,112,48,64,43,69,9135,2810,6325,3516,5619
"196",2019,3,"DF",3024,518,2506,921,2103,18,10,8,7,11,3042,528,2514,928,2114
"197",2019,3,"ES",3928,1017,2911,1369,2559,22,8,14,11,11,3950,1025,2925,1380,2570
"198",2019,3,"GO",7160,1565,5595,2807,4353,54,18,36,19,35,7214,1583,5631,2826,4388
"199",2019,3,"MA",7919,2684,5235,3986,3933,99,55,44,40,59,8018,2739,5279,4026,3992
"200",2019,3,"MG",18294,3890,14404,6193,12101,178,57,121,65,113,18472,3947,14525,6258,12214
"201",2019,3,"MS",3326,974,2352,1382,1944,34,13,21,13,21,3360,987,2373,1395,1965
"202",2019,3,"MT",4361,898,3463,1820,2541,41,12,29,18,23,4402,910,3492,1838,2564
"203",2019,3,"PA",9826,3878,5948,4860,4966,137,66,71,60,77,9963,3944,6019,4920,5043
"204",2019,3,"PB",3914,1276,2638,1556,2358,39,19,20,20,19,3953,1295,2658,1576,2377
"205",2019,3,"PE",9298,2986,6312,3923,5375,88,38,50,38,50,9386,3024,6362,3961,5425
"206",2019,3,"PI",3319,1081,2238,1458,1861,33,14,19,18,15,3352,1095,2257,1476,1876
"207",2019,3,"PR",11737,2796,8941,4154,7583,73,17,56,19,54,11810,2813,8997,4173,7637
"208",2019,3,"RJ",15032,3680,11352,5693,9339,172,61,111,63,109,15204,3741,11463,5756,9448
"209",2019,3,"RN",2895,1010,1885,1142,1753,36,11,25,10,26,2931,1021,1910,1152,1779
"210",2019,3,"RO",1924,567,1357,850,1074,14,6,8,7,7,1938,573,1365,857,1081
"211",2019,3,"RR",1136,359,777,569,567,8,4,4,3,5,1144,363,781,572,572
"212",2019,3,"RS",10606,3019,7587,3510,7096,66,29,37,19,47,10672,3048,7624,3529,7143
"213",2019,3,"SC",7417,1640,5777,2435,4982,69,18,51,22,47,7486,1658,5828,2457,5029
"214",2019,3,"SE",2392,936,1456,1000,1392,29,11,18,13,16,2421,947,1474,1013,1408
"215",2019,3,"SP",43973,6928,37045,14409,29564,356,91,265,113,243,44329,7019,37310,14522,29807
"216",2019,3,"TO",1799,453,1346,815,984,19,8,11,12,7,1818,461,1357,827,991
"217",2019,4,"AC",1033,442,591,545,488,14,10,4,7,7,1047,452,595,552,495
"218",2019,4,"AL",3223,1327,1896,1581,1642,25,13,12,12,13,3248,1340,1908,1593,1655
"219",2019,4,"AM",5788,2002,3786,2973,2815,90,29,61,44,46,5878,2031,3847,3017,2861
"220",2019,4,"AP",1000,349,651,488,512,13,8,5,7,6,1013,357,656,495,518
"221",2019,4,"BA",12554,3885,8669,5036,7518,172,69,103,66,106,12726,3954,8772,5102,7624
"222",2019,4,"CE",8570,2543,6027,3466,5104,96,38,58,36,60,8666,2581,6085,3502,5164
"223",2019,4,"DF",3007,496,2511,900,2107,29,5,24,8,21,3036,501,2535,908,2128
"224",2019,4,"ES",4169,1125,3044,1547,2622,27,12,15,9,18,4196,1137,3059,1556,2640
"225",2019,4,"GO",7051,1537,5514,2656,4395,50,18,32,18,32,7101,1555,5546,2674,4427
"226",2019,4,"MA",7017,2438,4579,3576,3441,90,49,41,46,44,7107,2487,4620,3622,3485
"227",2019,4,"MG",18396,3861,14535,6341,12055,178,52,126,60,118,18574,3913,14661,6401,12173
"228",2019,4,"MS",3456,1010,2446,1408,2048,29,16,13,13,16,3485,1026,2459,1421,2064
"229",2019,4,"MT",4297,822,3475,1849,2448,43,18,25,18,25,4340,840,3500,1867,2473
"230",2019,4,"PA",9165,3530,5635,4740,4425,112,48,64,40,72,9277,3578,5699,4780,4497
"231",2019,4,"PB",3807,1303,2504,1544,2263,36,11,25,11,25,3843,1314,2529,1555,2288
"232",2019,4,"PE",8932,2874,6058,3869,5063,103,36,67,47,56,9035,2910,6125,3916,5119
"233",2019,4,"PI",3032,964,2068,1325,1707,48,20,28,18,30,3080,984,2096,1343,1737
"234",2019,4,"PR",11856,2694,9162,4207,7649,75,24,51,27,48,11931,2718,9213,4234,7697
