"","year","month","UF","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old"
"183",2018,7,"RO",2274,722,1552,1041,1233,10,0,0,0,0,2284,722,1552,1041,1233
"184",2018,7,"RR",1206,360,846,628,578,11,0,0,0,0,1217,360,846,628,578
"185",2018,7,"RS",12042,3479,8563,4068,7974,67,0,0,0,0,12109,3479,8563,4068,7974
"186",2018,7,"SC",8661,2054,6607,2843,5818,49,0,0,0,0,8710,2054,6607,2843,5818
"187",2018,7,"SE",3020,1207,1813,1278,1742,33,0,0,0,0,3053,1207,1813,1278,1742
"188",2018,7,"SP",52316,8719,43597,17353,34963,409,0,0,0,0,52725,8719,43597,17353,34963
"189",2018,7,"TO",2251,561,1690,1047,1204,21,0,0,0,0,2272,561,1690,1047,1204
"190",2019,1,"AC",1356,634,722,687,669,15,0,0,0,0,1371,634,722,687,669
"191",2019,1,"AL",3531,1419,2112,1810,1721,39,0,0,0,0,3570,1419,2112,1810,1721
"192",2019,1,"AM",7069,2479,4590,3624,3445,81,0,0,0,0,7150,2479,4590,3624,3445
"193",2019,1,"AP",1311,439,872,649,662,15,0,0,0,0,1326,439,872,649,662
"194",2019,1,"BA",14821,4691,10130,5968,8853,196,0,0,0,0,15017,4691,10130,5968,8853
"195",2019,1,"CE",10187,3022,7165,4078,6109,95,0,0,0,0,10282,3022,7165,4078,6109
"196",2019,1,"DF",3565,630,2935,1102,2463,28,0,0,0,0,3593,630,2935,1102,2463
"197",2019,1,"ES",4331,1163,3168,1520,2811,41,0,0,0,0,4372,1163,3168,1520,2811
"198",2019,1,"GO",7980,1726,6254,3169,4811,66,0,0,0,0,8046,1726,6254,3169,4811
"199",2019,1,"MA",9818,3436,6382,5023,4795,115,0,0,0,0,9933,3436,6382,5023,4795
