"","UF","name","popm","gdpc","microregion","microregion_name","region","region_name","urban","codmun6","month","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old","deaths","lgdp","lpop","isolated","n"
"9204","SP","Amparo",72677,64804.88,35033,"Amparo",3,"Sudeste",1,"350190",5,76,10,66,26,50,0,0,0,0,0,76,10,66,26,50,44,11.0791361881468,11.1937802448283,0.406473964108057,31
"9205","SP","Analândia",5056,37298.53,35025,"São Carlos",3,"Sudeste",0,"350200",2,4,2,2,0,4,0,0,0,0,0,4,2,2,0,4,0,10.5267091946676,8.52833093582669,0.257511147535471,29
"9206","SP","Analândia",5056,37298.53,35025,"São Carlos",3,"Sudeste",0,"350200",3,3,2,1,1,2,0,0,0,0,0,3,2,1,1,2,3,10.5267091946676,8.52833093582669,0.333117461198195,31
"9207","SP","Analândia",5056,37298.53,35025,"São Carlos",3,"Sudeste",0,"350200",4,5,2,3,4,1,0,0,0,0,0,5,2,3,4,1,2,10.5267091946676,8.52833093582669,0.438555660072974,30
"9208","SP","Analândia",5056,37298.53,35025,"São Carlos",3,"Sudeste",0,"350200",5,6,0,6,0,6,0,0,0,0,0,6,0,6,0,6,1,10.5267091946676,8.52833093582669,0.439842061451041,31
"9209","SP","Andradina",57202,33661.69,35016,"Andradina",3,"Sudeste",1,"350210",2,34,3,31,12,22,0,0,0,0,0,34,3,31,12,22,43,10.4241156744464,10.9543441417916,0.300566496318223,29
"9210","SP","Andradina",57202,33661.69,35016,"Andradina",3,"Sudeste",1,"350210",3,52,2,50,18,34,0,0,0,0,0,52,2,50,18,34,49,10.4241156744464,10.9543441417916,0.388020912471669,31
"9211","SP","Andradina",57202,33661.69,35016,"Andradina",3,"Sudeste",1,"350210",4,58,6,52,18,40,0,0,0,0,0,58,6,52,18,40,45,10.4241156744464,10.9543441417916,0.431032615129155,30
"9212","SP","Andradina",57202,33661.69,35016,"Andradina",3,"Sudeste",1,"350210",5,57,5,52,16,41,1,0,1,1,0,58,5,53,17,41,45,10.4241156744464,10.9543441417916,0.404704462196383,31
"9213","SP","Angatuba",25479,40386.56,35042,"Itapetininga",3,"Sudeste",0,"350220",2,26,9,17,7,19,0,0,0,0,0,26,9,17,7,19,11,10.6062523353339,10.1456098624481,0.32622812624094,29
"9214","SP","Angatuba",25479,40386.56,35042,"Itapetininga",3,"Sudeste",0,"350220",3,33,12,21,13,20,1,0,1,0,1,34,12,22,13,21,20,10.6062523353339,10.1456098624481,0.424261817560676,31
"9215","SP","Angatuba",25479,40386.56,35042,"Itapetininga",3,"Sudeste",0,"350220",4,30,9,21,11,19,1,1,0,0,1,31,10,21,11,20,7,10.6062523353339,10.1456098624481,0.450173930878411,30
"9216","SP","Angatuba",25479,40386.56,35042,"Itapetininga",3,"Sudeste",0,"350220",5,31,10,21,12,19,0,0,0,0,0,31,10,21,12,19,16,10.6062523353339,10.1456098624481,0.429414314282975,31
"9217","SP","Anhumas",4144,18317.06,35036,"Presidente Prudente",3,"Sudeste",1,"350240",2,3,0,3,2,1,0,0,0,0,0,3,0,3,2,1,5,9.81558814500043,8.32941678393932,0.283681585053031,29
"9218","SP","Anhumas",4144,18317.06,35036,"Presidente Prudente",3,"Sudeste",1,"350240",3,5,2,3,3,2,0,0,0,0,0,5,2,3,3,2,0,9.81558814500043,8.32941678393932,0.394424093164388,31
"9219","SP","Anhumas",4144,18317.06,35036,"Presidente Prudente",3,"Sudeste",1,"350240",4,6,0,6,3,3,0,0,0,0,0,6,0,6,3,3,2,9.81558814500043,8.32941678393932,0.461207762350891,30
"9220","SP","Anhumas",4144,18317.06,35036,"Presidente Prudente",3,"Sudeste",1,"350240",5,4,1,3,4,0,0,0,0,0,0,4,1,3,4,0,1,9.81558814500043,8.32941678393932,0.413029400021206,31
"9221","SP","Aparecida",36185,29969.65,35051,"Guaratinguetá",3,"Sudeste",1,"350250",2,24,4,20,4,20,0,0,0,0,0,24,4,20,4,20,29,10.3079404818975,10.4963999473002,0.304551299599148,29
"9222","SP","Aparecida",36185,29969.65,35051,"Guaratinguetá",3,"Sudeste",1,"350250",3,39,9,30,11,28,0,0,0,0,0,39,9,30,11,28,21,10.3079404818975,10.4963999473002,0.425374035317168,31
"9223","SP","Aparecida",36185,29969.65,35051,"Guaratinguetá",3,"Sudeste",1,"350250",4,28,6,22,7,21,0,0,0,0,0,28,6,22,7,21,18,10.3079404818975,10.4963999473002,0.480858744909323,30
"9224","SP","Aparecida",36185,29969.65,35051,"Guaratinguetá",3,"Sudeste",1,"350250",5,32,3,29,17,15,0,0,0,0,0,32,3,29,17,15,22,10.3079404818975,10.4963999473002,0.453552681268256,31
"9225","SP","Apiaí",24226,24247.23,35044,"Capão Bonito",3,"Sudeste",0,"350270",2,30,5,25,12,18,0,0,0,0,0,30,5,25,12,18,15,10.0960576630371,10.0951817155767,0.332448063503328,29
"9226","SP","Apiaí",24226,24247.23,35044,"Capão Bonito",3,"Sudeste",0,"350270",3,32,6,26,12,20,0,0,0,0,0,32,6,26,12,20,16,10.0960576630371,10.0951817155767,0.402498315980523,31
"9227","SP","Apiaí",24226,24247.23,35044,"Capão Bonito",3,"Sudeste",0,"350270",4,25,3,22,8,17,0,0,0,0,0,25,3,22,8,17,12,10.0960576630371,10.0951817155767,0.458105944782827,30
"9228","SP","Apiaí",24226,24247.23,35044,"Capão Bonito",3,"Sudeste",0,"350270",5,20,8,12,11,9,0,0,0,0,0,20,8,12,11,9,14,10.0960576630371,10.0951817155767,0.415216403513239,31
"9229","SP","Araçariguama",22860,149668.66,35046,"Sorocaba",3,"Sudeste",0,"350275",2,27,5,22,12,15,0,0,0,0,0,27,5,22,12,15,9,11.9161791964531,10.0371439373488,0.301327264865037,29
"9230","SP","Araçariguama",22860,149668.66,35046,"Sorocaba",3,"Sudeste",0,"350275",3,30,10,20,9,21,0,0,0,0,0,30,10,20,9,21,8,11.9161791964531,10.0371439373488,0.386908769141114,31
"9231","SP","Araçariguama",22860,149668.66,35046,"Sorocaba",3,"Sudeste",0,"350275",4,18,4,14,9,9,0,0,0,0,0,18,4,14,9,9,11,11.9161791964531,10.0371439373488,0.430852723792965,30
"9232","SP","Araçariguama",22860,149668.66,35046,"Sorocaba",3,"Sudeste",0,"350275",5,21,7,14,8,13,0,0,0,0,0,21,7,14,8,13,8,11.9161791964531,10.0371439373488,0.417301531273853,31
"9233","SP","Araçatuba",198129,37521.17,35017,"Araçatuba",3,"Sudeste",1,"350280",2,166,21,145,52,114,2,0,2,1,1,168,21,147,53,115,109,10.5326605860028,12.1966736126843,0.280669555950814,29
"9234","SP","Araçatuba",198129,37521.17,35017,"Araçatuba",3,"Sudeste",1,"350280",3,185,24,161,55,130,2,0,2,0,2,187,24,163,55,132,139,10.5326605860028,12.1966736126843,0.374206517342691,31
"9235","SP","Araçatuba",198129,37521.17,35017,"Araçatuba",3,"Sudeste",1,"350280",4,178,19,159,63,115,2,0,2,0,2,180,19,161,63,117,130,10.5326605860028,12.1966736126843,0.429416209838149,30
"9236","SP","Araçatuba",198129,37521.17,35017,"Araçatuba",3,"Sudeste",1,"350280",5,168,24,144,56,112,0,0,0,0,0,168,24,144,56,112,149,10.5326605860028,12.1966736126843,0.392265270118208,31
"9237","SP","Araçoiaba da Serra",34776,25731.56,35046,"Sorocaba",3,"Sudeste",1,"350290",2,35,5,30,13,22,0,0,0,0,0,35,5,30,13,22,19,10.1554735330531,10.4566827726686,0.303414480286802,29
"9238","SP","Araçoiaba da Serra",34776,25731.56,35046,"Sorocaba",3,"Sudeste",1,"350290",3,31,4,27,12,19,1,0,1,0,1,32,4,28,12,20,22,10.1554735330531,10.4566827726686,0.403567092494069,31
"9239","SP","Araçoiaba da Serra",34776,25731.56,35046,"Sorocaba",3,"Sudeste",1,"350290",4,27,5,22,10,17,0,0,0,0,0,27,5,22,10,17,12,10.1554735330531,10.4566827726686,0.46560286578841,30
"9240","SP","Araçoiaba da Serra",34776,25731.56,35046,"Sorocaba",3,"Sudeste",1,"350290",5,37,4,33,15,22,0,0,0,0,0,37,4,33,15,22,27,10.1554735330531,10.4566827726686,0.425596237688983,31
